index,date,observation,value
FI12,1961-05,Air temperature,7.3
FI13,1961-05,Air temperature,7.4
FI14,1961-05,Air temperature,6.0
FI15,1961-05,Air temperature,8.0
FI16,1961-05,Air temperature,9.9
FI17,1961-05,Air temperature,9.4
FI18,1961-05,Air temperature,9.9
FI19,1961-05,Air temperature,9.8
FI02,1961-06,Air temperature,17.4
FI03,1961-06,Air temperature,15.7
FI04,1961-06,Air temperature,16.9
FI05,1961-06,Air temperature,15.2
FI06,1961-06,Air temperature,16.6
FI07,1961-06,Air temperature,14.2
FI08,1961-06,Air temperature,16.2
FI09,1961-06,Air temperature,16.9
FI10,1961-06,Air temperature,13.5
FI11,1961-06,Air temperature,15.9
FI12,1961-06,Air temperature,15.3
FI13,1961-06,Air temperature,16.4
FI14,1961-06,Air temperature,15.3
FI15,1961-06,Air temperature,16.5
FI16,1961-06,Air temperature,17.0
FI17,1961-06,Air temperature,16.2
FI18,1961-06,Air temperature,16.7
FI19,1961-06,Air temperature,16.5
FI02,1961-07,Air temperature,16.7
FI03,1961-07,Air temperature,15.6
FI04,1961-07,Air temperature,16.6
FI05,1961-07,Air temperature,16.3
FI06,1961-07,Air temperature,15.4
FI07,1961-07,Air temperature,15.1
FI08,1961-07,Air temperature,15.8
FI09,1961-07,Air temperature,16.3
FI10,1961-07,Air temperature,15.3
FI11,1961-07,Air temperature,15.2
FI12,1961-07,Air temperature,15.5
FI13,1961-07,Air temperature,16.4
FI14,1961-07,Air temperature,16.4
FI15,1961-07,Air temperature,16.5
FI16,1961-07,Air temperature,15.9
FI17,1961-07,Air temperature,15.1
FI18,1961-07,Air temperature,15.6
FI19,1961-07,Air temperature,15.3
FI02,1961-08,Air temperature,14.2
FI03,1961-08,Air temperature,13.0
FI04,1961-08,Air temperature,14.0
FI05,1961-08,Air temperature,12.8
FI06,1961-08,Air temperature,13.3
FI07,1961-08,Air temperature,12.7
FI08,1961-08,Air temperature,13.2
FI09,1961-08,Air temperature,14.5
FI10,1961-08,Air temperature,11.7
FI11,1961-08,Air temperature,12.9
FI12,1961-08,Air temperature,13.4
FI13,1961-08,Air temperature,13.6
FI14,1961-08,Air temperature,12.7
FI15,1961-08,Air temperature,13.7
FI16,1961-08,Air temperature,13.8
FI17,1961-08,Air temperature,13.5
FI18,1961-08,Air temperature,13.8
FI19,1961-08,Air temperature,13.6
FI02,1961-09,Air temperature,9.1
FI03,1961-09,Air temperature,8.7
FI04,1961-09,Air temperature,8.4
FI05,1961-09,Air temperature,7.1
FI06,1961-09,Air temperature,9.1
FI07,1961-09,Air temperature,8.4
FI08,1961-09,Air temperature,8.2
FI09,1961-09,Air temperature,9.9
FI10,1961-09,Air temperature,6.7
FI11,1961-09,Air temperature,8.9
FI12,1961-09,Air temperature,9.4
FI13,1961-09,Air temperature,7.6
FI14,1961-09,Air temperature,7.4
FI15,1961-09,Air temperature,8.1
FI16,1961-09,Air temperature,9.3
FI17,1961-09,Air temperature,9.9
FI18,1961-09,Air temperature,9.7
FI19,1961-09,Air temperature,10.0
FI02,1961-10,Air temperature,7.7
FI03,1961-10,Air temperature,8.1
FI04,1961-10,Air temperature,7.7
FI05,1961-10,Air temperature,6.8
FI06,1961-10,Air temperature,8.1
FI07,1961-10,Air temperature,8.1
FI08,1961-10,Air temperature,7.7
FI09,1961-10,Air temperature,8.8
FI10,1961-10,Air temperature,5.4
FI11,1961-10,Air temperature,8.0
FI12,1961-10,Air temperature,8.8
FI13,1961-10,Air temperature,7.3
FI14,1961-10,Air temperature,7.1
FI15,1961-10,Air temperature,7.7
FI16,1961-10,Air temperature,8.3
FI17,1961-10,Air temperature,9.0
FI18,1961-10,Air temperature,8.5
FI19,1961-10,Air temperature,9.0
FI02,1961-11,Air temperature,0.4
FI03,1961-11,Air temperature,1.3
FI04,1961-11,Air temperature,0.4
FI05,1961-11,Air temperature,-1.6
FI06,1961-11,Air temperature,1.2
FI07,1961-11,Air temperature,1.3
FI08,1961-11,Air temperature,0.7
FI09,1961-11,Air temperature,1.5
FI10,1961-11,Air temperature,-3.0
FI11,1961-11,Air temperature,1.0
FI12,1961-11,Air temperature,2.4
FI13,1961-11,Air temperature,-0.7
FI14,1961-11,Air temperature,-0.9
FI15,1961-11,Air temperature,0.2
FI16,1961-11,Air temperature,0.9
FI17,1961-11,Air temperature,2.4
FI18,1961-11,Air temperature,1.7
FI19,1961-11,Air temperature,2.1
FI02,1961-12,Air temperature,-6.5
FI03,1961-12,Air temperature,-7.1
FI04,1961-12,Air temperature,-7.6
FI05,1961-12,Air temperature,-11.0
FI06,1961-12,Air temperature,-5.9
FI07,1961-12,Air temperature,-6.7
FI08,1961-12,Air temperature,-7.6
FI09,1961-12,Air temperature,-5.2
FI10,1961-12,Air temperature,-14.0
FI11,1961-12,Air temperature,-6.5
FI12,1961-12,Air temperature,-5.5
FI13,1961-12,Air temperature,-8.8
FI14,1961-12,Air temperature,-10.6
FI15,1961-12,Air temperature,-8.5
FI16,1961-12,Air temperature,-6.2
FI17,1961-12,Air temperature,-5.4
FI18,1961-12,Air temperature,-5.1
FI19,1961-12,Air temperature,-5.2
FI02,1962-01,Air temperature,-5.2
FI03,1962-01,Air temperature,-6.0
FI04,1962-01,Air temperature,-6.2
FI05,1962-01,Air temperature,-9.8
FI06,1962-01,Air temperature,-4.9
FI07,1962-01,Air temperature,-6.5
FI08,1962-01,Air temperature,-6.7
FI09,1962-01,Air temperature,-4.1
FI10,1962-01,Air temperature,-14.5
FI11,1962-01,Air temperature,-5.6
FI12,1962-01,Air temperature,-5.0
FI13,1962-01,Air temperature,-7.1
